ID,Loc,Block,Border,Row,Tree,Fam,Sur0,Sur1,Sur2,GLD0,GLD1,GLD2,HT0,HT1,HT2,DBH3,DBH4,DBH5,DBH6,DBH7,HT3,HT4,HT5,HT6,HT7,CHT5,CHT6,CHT7
20212,HF,1,0,2,12,AGH2,0,0,1,3.77,6.37,.,0.39,0.405,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20213,HF,1,0,2,13,AGH2,0,1,1,5.57,.,.,0.43,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20214,HF,1,0,2,14,AGH2,0,0,0,4.63,14.29,54.15,0.38,0.807,2.42,2.65938,5.595,8.89,11.176,14,3.0353,4.2672,5.0546,5.4864,7.638288,0.381,0.6858,0.762
20312,HF,1,0,3,12,AGH2,0,1,1,7.45,.,.,0.53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20313,HF,1,0,3,13,AGH2,0,0,1,5.61,11.44,.,0.52,0.713,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20314,HF,1,0,3,14,AGH2,0,0,0,6.79,12.37,15.6,0.46,0.918,1.28,.,.,.,.,.,.,.,.,.,.,.,.,.
20412,HF,1,0,4,12,AGH2,1,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20413,HF,1,0,4,13,AGH2,0,0,0,5.46,13.94,41.2,0.33,0.75,1.7,1.0541,2.488,5.08,6.858,7.999999999,2.0955,2.794,3.0734,4.572,9.144,0.050800102,0.4572,0.4572
20414,HF,1,0,4,14,AGH2,0,0,0,7.04,10.29,36.1,0.39,0.492,1.38,0.81788,1.709,3.81,5.842,7.199999999,1.8161,2.4638,3.7338,5.0292,9.7536,0.5334,0.4826,0.4572
20707,HF,2,0,7,7,AGH2,0,0,0,6.38,18.54,50.19,0.38,0.692,1.6,0.75692,3.74,6.35,10.922,12,2.2352,3.4036,5.2832,5.1816,7.62,0.508000102,0.6604,0.9144
20708,HF,2,0,7,8,AGH2,0,0,0,5.25,13.52,30.64,0.43,0.571,1.89,0.78232,2.671,5.08,6.858,7.500000001,2.1844,2.7686,0.8128,4.572,6.7056,0.584200102,1.3715,2.83464
20709,HF,2,0,7,9,AGH2,0,0,0,5.4,10.68,32.52,0.36,0.597,1.51,0.62484,2.451,5.08,8.382,9.6,1.8415,2.8194,4.4704,5.0292,6.858,0.812800102,0.762,1.2192
20807,HF,2,0,8,7,AGH2,0,0,0,4.75,8.89,28.88,0.45,0.87,1.82,1.69164,4.284,6.35,10.16,10.9,2.4511,3.7592,5.5626,6.096,5.4864,0.584200102,0.9398,1.31064
20808,HF,2,0,8,8,AGH2,0,0,1,2.58,12.73,.,0.35,0.83,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20809,HF,2,0,8,9,AGH2,0,0,0,2.42,6.49,20.96,0.31,0.35,1.18,0.55372,2.167,5.08,7.62,7.999999999,1.7018,2.8956,5.08,5.9436,7.7724,0.6096,1.3715,2.07264
20907,HF,2,0,9,7,AGH2,0,0,0,6.82,18.95,44.8,0.56,0.913,2.2,2.4003,5.35,7.62,10.16,10.5,2.8194,4.0132,5.3848,5.7912,8.433816,0.508000102,3.0173,2.71272
20908,HF,2,0,9,8,AGH2,0,0,0,5.78,16.15,42,0.37,0.954,1.94,1.95834,4.725,6.35,10.668,10.5,2.6924,4.0386,5.9055,5.9436,8.253984,0.253999898,0.7366,2.40792
20909,HF,2,0,9,9,AGH2,0,0,0,5.82,12.93,37.2,0.43,0.86,1.85,1.5875,5.294,7.62,10.668,10.5,2.5908,3.9624,6.0706,5.1816,5.586984,0.431800102,0.5588,2.52984
21217,HF,3,0,12,17,AGH2,0,0,0,3.75,14.81,35.7,0.39,0.889,1.54,1.49352,4.18,7.62,8.382,8.600000001,2.4638,3.683,7.2898,6.096,8.001,0.482599898,1.6763,3.32232
21218,HF,3,0,12,18,AGH2,0,0,0,5.41,11.97,36.8,0.38,0.52,1.33,1.18618,3.28,7.62,8.128,9.3,2.1336,3.429,7.2898,6.096,8.025384,0.1524,0.762,2.5146
21219,HF,3,0,12,19,AGH2,0,0,0,4.77,11.11,34,0.37,0.52,1.44,2.09042,4.638,7.62,9.652,11.5,2.2225,3.5814,7.4168,5.4864,5.919216,0.3048,2.0115,3.048
