Site,Lat,Lon,ppt_Jan,ppt_Feb,ppt_Mar,ppt_Apr,ppt_May,ppt_Jun,ppt_Jul,ppt_Aug,ppt_Sep,ppt_Oct,ppt_Nov,ppt_Dec,ppt_Annual,tmin_Jan,tmin_Feb,tmin_Mar,tmin_Apr,tmin_May,tmin_Jun,tmin_Jul,tmin_Aug,tmin_Sep,tmin_Oct,tmin_Nov,tmin_Dec,tmin_Annual,tmean_Jan,tmean_Feb,tmean_Mar,tmean_Apr,tmean_May,tmean_Jun,tmean_Jul,tmean_Aug,tmean_Sep,tmean_Oct,tmean_Nov,tmean_Dec,tmean_Annual,tmax_Jan,tmax_Feb,tmax_Mar,tmax_Apr,tmax_May,tmax_Jun,tmax_Jul,tmax_Aug,tmax_Sep,tmax_Oct,tmax_Nov,tmax_Dec,tmax_Annual
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
Hyattville,44.139644,-107.528617,12.12,13.74,19.16,32.94,51.92,33.24,21.96,13.85,30.22,28.79,16.77,12.85,287.55,-12.5,-10.5,-4.8,-0.2,5.2,9.9,13.4,11.9,6.7,0.1,-6.5,-11.7,0.1,-5.6,-3.6,2.7,7.3,12.8,18.2,22.7,21.4,15.8,8.2,0.7,-5,8,1.4,3.4,10.2,14.9,20.4,26.6,31.9,30.9,24.9,16.3,7.8,1.6,15.9
